Title,PDF,URL,Author,Year,Grade,Standards,Subjects,Values,Sponsors,Keywords,Notes
Niugneliyukut: A Comm. Philosophy of Lang. Revit,councellerdissertation.pdf,http://ankn.uaf.edu/Curriculum/PhD_Projects/Apri,"Counceller, April G. L.",2010,9 - 12+,,"Language Arts, Social Studies, Alutiiq Language, Other","People - suupet, Elders - cuqllipet, Language - Sugt'stun niuwacipet, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki","Alutiiq Heritage Foundation (Alutiiq Museum), Alaska Native Knowledge Network, UAF",,
Iluani 2004,iluani_may_2004.pdf,,Students and Iluani Staff,2004,PreK - 12+,,"Language Arts, Social Studies, Alutiiq Language",,Kodiak Island Borough School District,,
Alutiiq Arts Activity Book,alutiiq_arts_book.pdf,,"Mandi Cox, Samantha Heglin, and Tatiana Yakanak",2013,Pre-K - 12+,,"Language Arts, Social Studies, Alutiiq Language, Art","Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Sharing - ilakuisngukut, Respect - ling'aklluki","Kodiak Island Borough School District, Native Educators of the Alutiiq Region, UAA",,
Iluani May 2005,iluani_may_2005.pdf,,KIBSD students and Iluani Staff,2005,PreK - 12th+,,"Language Arts, Science & TEK, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Kodiak Island Borough School District,"Native science, ethnography, interview, growing up, survival, hunting, fishing, stories",
Weather Information Gap Task,weather_information_gap_task.pdf,http://anl452peggyazuyak.weebly.com/output-hypothesis-activities.html,"Azuyak, Peggy",0,5 - 12+,World Language A,Alutiiq Language,Language - Sugt'stun niuwacipet,,"weather, language, Alutiiq, activity",This activity is meant to be used with beginning Alutiiq language learners after they have practiced weather vocabulary. It makes use of asking and answering questions.
Kodiak Island Weather Information Gap Activity,kodiak_island_weather_activity_.pdf,http://anl452peggyazuyak.weebly.com/output-hypothesis-activities.html,"Azuyak, Peggy",0,5 - 12+,World Languages A,Alutiiq Language,"Land - nunapet, Language - Sugt'stun niuwacipet",,"weather, Kodiak Island, activity, Alutiiq language",This activity highlights the -mi locative when speaking about the weather in particular villages around the island. This activity is designed to be used with beginning Alutiiq language learners.
Clothing Information Gap Task,clothing_information_gap_task.pdf,http://anl452peggyazuyak.weebly.com/output-hypothesis-activities.html,"Azuyak, Peggy",0,3 - 12+,World Languages A,Alutiiq Language,Language - Sugt'stun niuwacipet,,"clothing, activity, Alutiiq language",This activity was designed to be used with beginning Alutiiq language learners after they have practiced clothing vocabulary.
Caqiq Una Task,caqiq_una__task_copy1.pdf,http://anl452peggyazuyak.weebly.com/focus-on-form-activities.html,"Azuyak, Peggy",0,K - 12+,"World Languages A, C",Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet",,"Where Are Your Keys, distance education, activity, Alutiiq language, activity, Caqiq Una?, game",This activity was adapted from the Where Are Your Keys? lessons designed by the Alutiiq Language community of learners. This has been adapted to be used with distance delivery methods over VTC with a class of learners on one end and the teacher on another.
Alutiiq Colors Activity,color_activity.pdf,http://anl452peggyazuyak.weebly.com/focus-on-form-activities.html,"Azuyak, Peggy",0,K - 12+,"World Languages A, C",Alutiiq Language,Language - Sugt'stun niuwacipet,,"colors, Alutiiq language, activity, distance education",This activity was designed for use with beginning Alutiiq language learners. It has been used with face-to-face classes as well as distance-delivery classes over the VTC. I have incorporated resources available from www.alutiiqlanguage.org.
Alutiiq Language Candy Activity,candy_activity.pdf,http://anl452peggyazuyak.weebly.com/focus-on-form-activities.html,"Azuyak, Peggy",0,3 - 12+,"World Languages A, B",Alutiiq Language,Language - Sugt'stun niuwacipet,,"candy, Alutiiq language, activity","This activity was designed to help beginning Alutiiq language learners to practice language surrounding what they want, descriptors such as color and size, as well as number."
Alutiiq Language Optical Illusion Task,optical_illusion_task.pdf,http://anl452peggyazuyak.weebly.com/tblt-activities.html,"Azuyak, Peggy",0,3 - 12+,"World Languages A, C",Alutiiq Language,Language - Sugt'stun niuwacipet,,"illusions, Alutiiq language, activity","This activity was designed for beginning Alutiiq language learners to practice describing what they wee in a picture. Students discuss with each other what they see when looking at a picture containing an optical illusion. Students should have some language centering around faces, animals, people, and words such as una and taugna (this is, that is)."
Alutiiq Language Menu Activity,menu_activity.pdf,http://anl452peggyazuyak.weebly.com/tblt-activities.html,"Azuyak, Peggy",0,5 - 12+,"World Languages A, C",Alutiiq Language,Language - Sugt'stun niuwacipet,,"menu, food, Alutiiq language, activity, role play, simulation","This activity was designed for beginning Alutiiq language learners to simulate ordering at a restaurant. One student plays the role of the waiter while one or more students plays the role of customer. Students use a menu written in Alutiiq to let the waiter know what they want. The waiter uses questioning to ask the customers what they want and the 2nd person grammar to repeat back to the customer what they want. This activity uses food language, grammar, postbases such as -yug and -tur."
Alutiiq Language Spot the Difference Task,spot_the_difference_task.pdf,http://anl452peggyazuyak.weebly.com/tblt-activities.html,"Azuyak, Peggy",0,3 - 12+,"World Languages A, C",Alutiiq Language,Language - Sugt'stun niuwacipet,,"activity, differences, Alutiiq language","This activity makes use of nickjr.com Spot the Difference activities. Students pair up and look at two pictures that contain eight differences. Without looking at each other's papers, they must try to determine as many differences as they can. The students will use color vocabulary, animal, household objects and locations, numbers, etc."
Iluani 2003,iluani_may_2003.pdf,,Iluani Staff and Students,2003,Pre K - 12,,"Language Arts, Social Studies, Alutiiq Language","Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Respect - ling'aklluki",Kodiak Island Borough School District,,
Iluani 2002,iluani_may_2002_vol3no2.pdf,,Iluani Staff and Students,2002,Pre K - 12,,"Language Arts, Social Studies, Alutiiq Language","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Kodiak Island Borough School District,,
Iluani 1979,iluani_1979_smaller.pdf,,Iluani Staff and Students,1979,Pre K - 12,,"Language Arts, Social Studies, Alutiiq Language, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Kodiak Island Borough School District,,
Iluani 2001 (Vol. 3 No. 1),iluani_may_2001_vol3no1_copy.pdf,,Iluani Staff and Students,2001,Pre K - 12+,,"Language Arts, Alutiiq Language, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Kodiak Island Borough School District,,
Iluani Volume 2 Number 3,vol_2_no_3.pdf,,Iluani Staff and Students,0,Pre K - 12+,,,,,,
Iluani Number 1,iluani_1.pdf,,Iluani Staff and Students,0,-,,,,,,
Iluani Volume 2 Number 1,iluani_vol_2_no_1.pdf,,Iluani Staff and Students,0,Pre K - 12+,,,,,,
Alutiiq Mask Coloring Sheets,alutiiq_masks_coloring_sheets.pdf,,Koniaq Inc,0,Pre K - 12+,,"Language Arts, Social Studies, Art","People - suupet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut","Kodiak Island Borough School District, Koniag, Inc.",,
Alutiiq Plant Cards (Nautstaat),nautstaat__plants__cards.pdf,,,0,Pre K - 12+,,"Social Studies, Alutiiq Language, Art, Other","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet",,,
Alutiiq Classroom Labels,alutiiq_classroom_labels.pdf,,,0,Pre K - 12+,,"Language Arts, Social Studies, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet",,,
Petroglyph Coloring Pages,petroglyphs.pdf,,Subway and Alutiiq Museum,0,Pre K - 12+,,"Social Studies, Alutiiq Language, Art","Subsistence - unguwacirpet, People - suupet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut","Alutiiq Heritage Foundation (Alutiiq Museum), Other",,
Demonstratives and Local Cases,demonstrative.pdf,,April Laktonen Counceller PhD,2015,12-Sep,,Alutiiq Language,Language - Sugt'stun niuwacipet,UAA,Grammar,
Alutiiq Conversational Dictionary,leer1979conv_alutiiq_dictionary.pdf,,Jeff Leer PhD,1979,5 - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,"Alaska Native Language Center, Other",Dictionary,
Non-Past Verb Forms,nonpast_verb_forms.pdf,,Jeff Leer PhD,1997,9 - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,Alaska Native Language Center,Grammar,
Proficiency Interviews,proficiencyinterviews.pdf,,April Laktonen Counceller PhD,2014,9 - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,UAA,"ACTFL, American Council on the Teaching of Foreign Languages",
The Lord's Prayer,thelordsprayer.pdf,,April Laktonen Counceller,2014,9 - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,Other,,
Transitive Non-Past Chart,transitive_nonpast.pdf,,Jeff Leer PhD,2007,9 - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,Alaska Native Language Center,"Transitive endings, Grammar",Kodiak dialect
Common Phrases,topphrasesportgraham.pdf,,Port Graham Village Council,0,12-Jan,,Alutiiq Language,Language - Sugt'stun niuwacipet,Other,Language Lessons,Aleut language lessons from Port Graham Village Council's website page. Chugach dialect
Ikani,,http://ikani-peggyazuyak.weebly.com,Peggy Azuyak,2015,K - 12,,Alutiiq Language,Language - Sugt'stun niuwacipet,Other,"TPR, multiliteracies, funds of knowledge, comprehensible input, output, interaction hypothesis, task based language learning","This website is the final project from Azuyak's Master's in applied linguistics, from the University of Alaska Fairbanks."
A Decade of Language Revitalization: Kodiak Alutiiq on the Brink of Revolution,councellerjaie2012.pdf,,"April Laktonen Counceller, Ph.D.",2012,8 - 12+,,"Language Arts, Social Studies, Alutiiq Language","People - suupet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Other, UAA",,
Qulianguanek Litnauwilita,,http://letsteachfromstories.weebly.com,Candace Branson,2015,8 - 12+,,"Language Arts, Alutiiq Language","People - suupet, Language - Sugt'stun niuwacipet, Sharing - ilakuisngukut, Respect - ling'aklluki",Other,,The storytelling unit was Branson's master's project. Branson graduated from the University of Alaska Fairbanks with a degree in applied linguistics.
Valentines Day Language,alutiiq_valentines.pdf,,,2014,K - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,Native Village of Afognak,Flyer of terms and verbs to create Valentines Day cards in Alutiiq.,
Pledge of Allegiance,woodwardfinalproject.pdf,,Victoria Woodward,2016,K - 12,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet, Respect - ling'aklluki",Other,"Flag, Pledge, Final Project, Class Management, Rules","Document includes the Pledge of Allegiance, along with key words for classroom management."
Yugnet Ang'alluki - To Keep the Words,yugnet_angalluki.pdf,,"Hegna, Shauna Z.",2004,8 - 12+,,Alutiiq Language,"People - suupet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Alutiiq Heritage Foundation (Alutiiq Museum), Other","language, survey, masters, thesis, canneries, speakers, learners, villages, kodiak, language endangerment, language loss, language revitalization","A Report on the Status, Strategies and Goals for the Revitalization of the Alutiiq Language"
Community Space for Decolonization and Resistance: Kodiak Alutiiq Language Club Participant Perspectives,,,Michael James Bach,2014,8 - 12+,,"Language Arts, Social Studies, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet, Sharing - ilakuisngukut","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","Language, Language club, masters, thesis, speakers, learners, resistance, kodiak, language revitalization, fluency,",Community Space for Decolonization and Resistance: Kodiak Alutiiq Language Club Participant Perspectives
Nunaka My Village,,,Chugachmiut (?),0,K - 12,,"Language Arts, Social Studies, Alutiiq Language","Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Sharing - ilakuisngukut",,"Alutiiq, language, crafts, activities, learning",
Framework for Sugt'stun Curriculum,,,Sperry Ash,2005,9 - 12+,,"Language Arts, Social Studies, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet",,"Alutiiq, Language, Teaching, Curriculum, Learning, University, Sugt'stun,",
Afognak Placenames,,http://www.afognak.org/heritage/maps/maps-intro.php,,0,K-12+ -,,"Science & TEK, Alutiiq Language","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet",Native Village of Afognak,"Afognak, Placenames",Note the links embedded in the page. These take you to other maps.
Classroom Questions Poster,classroom_questions_poster.pdf,,Alisha Drabek,2012,K - 12+,,"Language Arts, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet",,"question, poster, classroom, class","includes questions such as ""Do you understand?"", how, bathroom, ""How do you say...?"""
Animals Worksheet,animal_worksheet.pdf,,Alisha Drabek,2012,K - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language","Land - nunapet, Subsistence - unguwacirpet, Learning - liicirpet, Language - Sugt'stun niuwacipet",,"animals, bear, worksheet, test",
Animal Names,animals_with_words.pdf,,Alisha Drabek,2012,K - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language","Subsistence - unguwacirpet, Learning - liicirpet, Language - Sugt'stun niuwacipet",,"animals, bear",PDF of clip art with names of animals.
Animal Crosswords,animal_crossword_puzzle_.pdf,,Alisha Drabek,0,K - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet",,"Animals, bear, crossword, game",
Alphabet worksheet,aapit_worksheet.pdf,,Alisha Drabek,0,3 - 12+,,"Language Arts, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet",,"Alphabet, worksheet","This is an Alphabet worksheet, students can fill in the lines with words that start with the letters."
Body Word Search,body_parts_word_search_answers_copy.pdf,,Alisha Drabek,0,K - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language, Health, Physical Education","People - suupet, Language - Sugt'stun niuwacipet",,"Body, word search, answers","This is a word search puzzle for all ages, on the theme of body. Answer page is included."
Body Quiz,body_part_test_2.pdf,,Alisha Drabek,0,K - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language, Health, Physical Education","Learning - liicirpet, Language - Sugt'stun niuwacipet",,"body, test, worksheet",This worksheet can be used as a test as well as a study tool.
"Language lesson for ""hurt""",,,,0,6 - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language, Health, Physical Education","People - suupet, Language - Sugt'stun niuwacipet",,"hurt, body","Language lesson for ""hurt"", this is a PDF of a presentation of the language lesson teaching, how to say ___ hurts."
Alutiiq Values Slideshow,alutiiq_values.pdf,,Alisha Drabek,2003,K - 12+,,"Social Studies, Alutiiq Language, Health","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",,"values, Alutiiq core values",
Alutiiq Values Poster,alutiiq_values_poster_copy1.pdf,,Teri Schneider,2002,K - 12+,,"Social Studies, Alutiiq Language, Health","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki","Kodiak Island Borough School District, Alutiiq Heritage Foundation (Alutiiq Museum), Native Educators of the Alutiiq Region","values, Alutiiq values, value, core values",Resource created by Alutiiq educator Teri Schneider and elders in 2002.
Community Wellbeing,llam_sua_values_model.pdf,,Alisha Drabek,2005,K - 12+,,"Alutiiq Language, Health","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",,"wellbeing, values, Alutiiq values, core values, health, community, llam sua, health, spirituality, spirit",Alutiiq Educator Alisha Drabek has organized these core values within an Alutiiq Values Model for Community Wellbeing surrounding the central iconic image of Llam Sua (the Universe's Spirit).
Alphabet Song,aapitatuun.pdf,,Kathy Nelson,2010,K - 3,,Language Arts,"Learning - liicirpet, Language - Sugt'stun niuwacipet",Native Village of Afognak,"alphabet, Port Lions, Kathy, poster, song","Provided by Native Village of Port Lions Alutiiq Language Program, created by Kathy Nelson with assistance from John ""JP"" Pestrikoff in Port Lions."
Alphabet Posters,alphabet_1.pdf,,,0,K - 3,,Language Arts,Language - Sugt'stun niuwacipet,Native Village of Afognak,"alphabet, letters, sounds",These sheets may be printed out and hung around the classroom to learn the sounds of the Alutiiq alphabet. Based off the work by Dr. Jeff Leer and his conversational Alutiiq dictionary published in 1979.
Alphabet Poster,alphabet.pdf,,April Laktonen Counceller,2014,K - 12+,,Alutiiq Language,Language - Sugt'stun niuwacipet,UAA,"alphabet, orthography, writing, letters, sounds",Page taken from the orthography of Koniag Alutiiq. Page includes examples of how to pronounce the letters of the Alutiiq writing system. Derived from Dr. Jeff Leer's work on the Koniag Conversational Dictionary published in 1979.
Numbers 1 through 25,numbers1thru25.pdf,,Alisha Drabek,2013,pre-K - 9,,"Language Arts, Math",Language - Sugt'stun niuwacipet,Native Village of Afognak,"counting, count, numbers, number",From the Kodiak Alutiiq Picture Dictionary or Qik'rtarmiut Sugpiat Niugneret book.
Telling Time,time.pdf,,Alisha Drabek,2013,5-Jan,,"Language Arts, Math",Language - Sugt'stun niuwacipet,Native Village of Afognak,"counting, time, clock, count, numbers, number",From the Kodiak Alutiiq Picture Dictionary or Qik'rtarmiut Sugpiat Niugneret book.
Money,money.pdf,,Alisha Drabek,2013,5-Jan,,"Language Arts, Math",Language - Sugt'stun niuwacipet,Native Village of Afognak,"money, counting, count, numbers, number",From the Kodiak Alutiiq Picture Dictionary or Qik'rtarmiut Sugpiat Niugneret book.
Numbers Flashcards,numbers_flashcards.pdf,,Alisha Drabek,2011,K - 5,,"Language Arts, Math",Language - Sugt'stun niuwacipet,Other,"counting, count, numbers, number, slideshow, flashcards","Developed by Alisha Drabek for the Kodiak High School Alutiiq Language class as Computer-based Presentation printouts, the following flashcards and full sheet cards can be used to practice the numbers 1-10."
Full Sheet Number Flashcards,numbersfullsheet.pdf,,Alisha Drabek,2011,K - 5,,"Language Arts, Math",Language - Sugt'stun niuwacipet,Other,"counting, count, numbers, number, flashcard, flashcards","Developed by Alisha Drabek for the Kodiak High School Alutiiq Language class as Computer-based Presentation printouts, the following flashcards and full sheet cards can be used to practice the numbers 1-10."
Qulen Alutiingcut,qulen_alutiingcut.pdf,,Alutiiq Museum,2004,pre-K - 3,,"Language Arts, Math",Language - Sugt'stun niuwacipet,Alutiiq Heritage Foundation (Alutiiq Museum),"song, sing, counting, count, numbers, number, ten","Created through the Alutiiq Museum Language Program, sung to the tune of ""Ten Little Indians,"" students can practice their numbers as they sing Qulen Alutiingcut."
Personal Introduction,personal_introductions.pdf,,Alisha Drabek,2012,2 - 12+,,"Language Arts, Alutiiq Language","People - suupet, Family - ilaapet , Language - Sugt'stun niuwacipet",Other,"introduction, family, me, personal, worksheet, presentation, introduce","After mastering Alutiiq family and people terms, the next step to being able to introduce oneself is to learn how to use the verbs ""to live"" (et'aar-) and ""to be born"". Developed and used with the KHS Alutiiq Language class, this Personal Introductions PDF provides an orientation to these verbs and sample personal introduction phrases to develop understanding. As this presentation is intended for use within an immersion instruction setting (without English), we have included a phrase translation list below: Nani et'aarcit? - Where do you live? Sun'ami et'aartua. - I live in Kodiak. Wiiwaqa (N)/Uyuwaqa (S) Sun'ami et'aartuq. - My younger sibling lives in Kodiak. Ilanka Sun'ami et'aartut. - My family lives in Kodiak. Una tan'uraq Nuniami et'aartuq. - This boy lives in Old Harbor. Una arya'aq Uusenkaami et'aartuq. - This girl lives in Ouzinkie. Una arnaq Uyaqsami et'aartuq. - This woman lives in Larsen Bay. Una nukallpiaq Masiqsirarami et'aartuq. - This man lives in Port Lions. Una arnaq Kicarwigami et'aartuq. - This woman lives in Anchorage. Nani suullriaten? - Where were you born? Sun'ami suullrianga. - I was born in Kodiak. Taataqa Sun'ami suullria. - My dad was born in Kodiak. Una tan'uraq Nuniami suullria. - This boy was born in Old Harbor. Una arya'aq Uusenkaami suullria. - This girl was born in Ouzinkie. Una arnaq Uyaqsami suullria. - This woman was born in Larsen Bay. Una nukallpiaq Masiqsirarami suullria. - This man was born in Port Lions. Una arnaq Kicarwigami suullria. - This woman was born in Anchorage."
Family Poster,familyposter.pdf,,Alisha Drabek,2013,K - 12+,,Alutiiq Language,Family - ilaapet,"Native Village of Afognak, Other","family, family tree, poster",the Kodiak Alutiiq Picture Dictionary or Qik'rtarmiut Sugpiat Niugneret book contains pages on Kodiak Alutiiq family and people terms.
Family Words Puzzle,family_words_puzzles.pdf,,Alisha Drabek,2013,12-May,,Alutiiq Language,"Family - ilaapet , Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Other","puzzle, crossword, word find, family, vocabulary, worksheet, game",Developed by Alisha Drabek for use in the Alutiiq Language High School class.
Family Words Puzzle Answers,family_words_puzzles_answers.pdf,,Alisha Drabek,2013,12-May,,Alutiiq Language,"Family - ilaapet , Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Other","puzzle, crossword, word find, family, vocabulary, worksheet, game",Answers to the puzzles developed by Alisha Drabek for use in the Kodiak High School Alutiiq Language class.
Introduction Form,introductionform.pdf,,April Laktonen Counceller,2005,3 - 12+,,Alutiiq Language,"Family - ilaapet , Language - Sugt'stun niuwacipet",Alutiiq Heritage Foundation (Alutiiq Museum),"family, introduction, introduce, worksheet, form","The Alutiiq Museum's Language Program developed a Personal Introduction Form that is a useful tool for preparing a personal introduction script. An excellent first goal for students is to create their own personal introduction, and this form is a quick way to get started."
Family Tree Worksheet,family_tree.pdf,,Alisha Drabek,2012,3 - 12+,,Alutiiq Language,"Family - ilaapet , Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Other","family, introduction, introduce, genealogy","Developed through the Kodiak High School Alutiiq Language class, this Genealogy Chart in Alutiiq provides a traditional genealogy chart format for people to identify their ancestors and living relatives."
Ap'saq Board Game,apsaq_board_game.pdf,,Alisha Drabek,2011,5 - 12+,,Alutiiq Language,"Family - ilaapet , Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Other","game, family, board game, introduction, question, group activity","Intended as a simple learner group activity developed through the Kodiak High School Alutiiq Language class, this game board is useful to practice family introductions from memory, including a series of personal introductory questions for players to respond to as they move around the board. Each player should have a game piece (borrowed from a store bought game or coins or pebbles) and 1 dice. Players can play to see who gets to the end first or see how many times they can reach the end within a time frame. Players should be directed to only speak Alutiiq when playing, saying the Alutiiq numbers as they count their spaces and land on the personal question or statement square. Cestun Atren? - What is your name? Asirtuten-qaa? - Are you good? Cestun aanan/maaman atra? - What is your mother's name? Nani et'aarcit? - Where do you live? Nani suullriaten? - Where were you born? Cestun ataan/taatan atra? - What is your father's name? Nani aanan/maaman suullria? - Where was your mother born? Nani ataan/taatan suullria? - Where was your father born? Kina-mi ellpet? - Who are you? (Intended to elicit a longer introduction of several phrases) Qaugcinek aningangq'rcit? - How many brothers do you have? Quyanaa. - Thank you. (Intended to elicit a response of ""You are welcome"" - ""Quyanaituq"" or ""Canaituq"" Qaugcinek uyuwangq'rcit/wiiwangq'rcit? - How many younger siblings do you have? Qaugcinek alqangq'rcit? - How many older sisters do you have? Cestun-mi uksungq'rcit? - How older are you? (How many winters do you have?) Aularniq - Start Iqua - End Angiiten Pingauyunek, Staamanek, Tallimanek - Go back 3, 4, 5 Cutmen Mal'ugnek - Go forward 2"
Question Worksheet,questions_worksheet.pdf,,Alisha Drabek,2012,12-Jul,,"Language Arts, Alutiiq Language","Family - ilaapet , Language - Sugt'stun niuwacipet",Other,"question, worksheet, practice, family, age, siblings, parents, introduction, introduce","In preparation for the ap'saq game, using the same questions and responses, this Personal Questions Worksheet provides a series of questions for learners to respond to in preparation for conversation and introductory games. Responses may vary, but there is a sample response form under the same title with ""answers"" at the end."
Questions Worksheet Sample Answers,questions_worksheet_answers.pdf,,Alisha Drabek,2012,12-Jul,,"Language Arts, Alutiiq Language","Family - ilaapet , Language - Sugt'stun niuwacipet",Other,"game, worksheet, siblings, family, parents, answers, sample","In preparation for the ap'saq game, using the same questions and responses, this Personal Questions Worksheet provides a series of questions for learners to respond to in preparation for conversation and introductory games. Responses may vary, but this document is a sample response form."
Animals Posters,animalsposter.pdf,,Alisha Drabek,2013,K - 12,,Alutiiq Language,"Land - nunapet, Subsistence - unguwacirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","animals, land animals, animal, sea animals, ocean, sky animals, birds, pets, dogs, cats, deer, bear, whale, creatures, poster, handout",the Kodiak Alutiiq Picture Dictionary or Qik'rtarmiut Sugpiat Niugneret book contains several pages on animal names in the Kodiak Alutiiq language.
Alutiiq Traditions,,https://alutiiqmuseum.org/learn/the-alutiiq-sugpiaq-people/short-lessons,Alutiiq Museum,2015,12-May,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language, Art, Health, Technology, Other","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Spirituality - agayumaukut, Sharing - ilakuisngukut, Respect - ling'aklluki",Alutiiq Heritage Foundation (Alutiiq Museum),"traditions, alutiiq, worksheet, reading, handout, background, history","Updated in 2015, the third edition of the Alutiiq Museumn's popular paperback features new lessons on men's and women's work, the Alutiiq calendar, warfare, and more."
